identity_id,anomaly_type,severity,detail,rule,mitre,remediation
ID0001,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0005,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0006,dormant_admin,HIGH,No login in 368 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0006,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0007,stale_token,MEDIUM,AWS API key not rotated in 737 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0008,offboarding_gap,CRITICAL,Active on Okta after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: Okta
ID0010,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0012,stale_token,MEDIUM,AWS API key not rotated in 426 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0013,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0020,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0020,dormant_admin,HIGH,No login in 233 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0020,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0022,dormant_admin,HIGH,No login in 237 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0022,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0022,stale_token,MEDIUM,AWS API key not rotated in 854 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0022,dormant_admin_role_change,MEDIUM,"Admin inactive 237 days, with a role change on 2023-10-13. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",RULE_7,AC-2 - Account Management (dormancy review),"Confirm with HR/manager whether this is an active transition; if not, revoke admin access"
ID0027,stale_token,MEDIUM,AWS API key not rotated in 584 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0032,stale_token,MEDIUM,AWS API key not rotated in 499 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0034,dormant_admin,HIGH,No login in 193 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0034,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0035,offboarding_gap,CRITICAL,Active on Okta after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: Okta
ID0035,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0036,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0040,dormant_admin,HIGH,No login in 92 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0040,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0041,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0042,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0043,stale_token,MEDIUM,AWS API key not rotated in 704 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0046,dormant_admin,HIGH,No login in 147 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0046,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0047,privilege_escalation,CRITICAL,2 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0048,stale_token,MEDIUM,AWS API key not rotated in 606 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0049,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0049,dormant_admin,HIGH,No login in 295 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0049,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0050,dormant_admin,HIGH,No login in 135 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0051,stale_token,MEDIUM,AWS API key not rotated in 621 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0053,dormant_admin,HIGH,No login in 231 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0053,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0053,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0055,offboarding_gap,CRITICAL,Active on AWS after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: AWS
ID0055,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0057,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0061,stale_token,MEDIUM,AWS API key not rotated in 804 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0063,offboarding_gap,CRITICAL,Active on AWS after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: AWS
ID0064,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0065,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0066,dormant_admin,HIGH,No login in 230 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0069,dormant_admin,HIGH,No login in 311 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0069,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0069,stale_token,MEDIUM,AWS API key not rotated in 736 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0083,offboarding_gap,CRITICAL,Active on Okta after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: Okta
ID0084,stale_token,MEDIUM,AWS API key not rotated in 620 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0090,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0091,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0092,dormant_admin,HIGH,No login in 240 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0093,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0095,dormant_admin,HIGH,No login in 271 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0095,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0099,stale_token,MEDIUM,AWS API key not rotated in 779 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0101,dormant_admin,HIGH,No login in 105 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0101,dormant_admin_role_change,MEDIUM,"Admin inactive 105 days, with a role change on 2024-05-28. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",RULE_7,AC-2 - Account Management (dormancy review),"Confirm with HR/manager whether this is an active transition; if not, revoke admin access"
ID0106,dormant_admin,HIGH,No login in 137 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0106,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0106,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0107,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0109,stale_token,MEDIUM,AWS API key not rotated in 850 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0109,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0110,dormant_admin,HIGH,No login in 170 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0110,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0111,stale_token,MEDIUM,AWS API key not rotated in 513 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0111,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0124,dormant_admin,HIGH,No login in 98 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0124,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0124,dormant_admin_role_change,MEDIUM,"Admin inactive 98 days, with a role change on 2025-02-27. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",RULE_7,AC-2 - Account Management (dormancy review),"Confirm with HR/manager whether this is an active transition; if not, revoke admin access"
ID0125,dormant_admin,HIGH,No login in 159 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0129,offboarding_gap,CRITICAL,Active on AWS after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: AWS
ID0130,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0130,dormant_admin,HIGH,No login in 384 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0130,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0132,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0132,dormant_admin,HIGH,No login in 333 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0132,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0132,stale_token,MEDIUM,AWS API key not rotated in 412 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0134,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0135,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0136,dormant_admin,HIGH,No login in 281 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0137,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0138,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0138,stale_token,MEDIUM,AWS API key not rotated in 578 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0139,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0139,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0140,dormant_admin,HIGH,No login in 211 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0140,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0145,dormant_admin,HIGH,No login in 144 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0145,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0145,dormant_admin_role_change,MEDIUM,"Admin inactive 144 days, with a role change on 2025-06-01. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",RULE_7,AC-2 - Account Management (dormancy review),"Confirm with HR/manager whether this is an active transition; if not, revoke admin access"
ID0148,offboarding_gap,CRITICAL,Active on AWS after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: AWS
ID0149,dormant_admin,HIGH,No login in 243 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0149,dormant_admin_role_change,MEDIUM,"Admin inactive 243 days, with a role change on 2024-11-07. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",RULE_7,AC-2 - Account Management (dormancy review),"Confirm with HR/manager whether this is an active transition; if not, revoke admin access"
ID0152,dormant_admin,HIGH,No login in 115 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0152,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0154,dormant_admin,HIGH,No login in 142 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0154,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0155,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0161,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0162,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0162,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0163,offboarding_gap,CRITICAL,Active on Okta after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: Okta
ID0164,dormant_admin,HIGH,No login in 267 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0164,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0167,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0173,dormant_admin,HIGH,No login in 159 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0173,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0174,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0176,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0177,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0177,privilege_escalation,CRITICAL,2 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0178,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0179,stale_token,MEDIUM,AWS API key not rotated in 761 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0182,dormant_admin,HIGH,No login in 93 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0182,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0182,dormant_admin_role_change,MEDIUM,"Admin inactive 93 days, with a role change on 2025-02-26. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",RULE_7,AC-2 - Account Management (dormancy review),"Confirm with HR/manager whether this is an active transition; if not, revoke admin access"
ID0186,offboarding_gap,CRITICAL,"Active on AWS, Okta after termination",RULE_1,T1078 - Valid Accounts,"Immediately disable accounts on: AWS, Okta"
ID0188,offboarding_gap,CRITICAL,Active on Okta after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: Okta
ID0188,dormant_admin,HIGH,No login in 103 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0188,inherited_admin,HIGH,Effective admin through nested group: GG-Domain-Admins,RULE_4,T1098 - Account Manipulation,Flatten group hierarchy or remove from GG-Domain-Admins
ID0189,offboarding_gap,CRITICAL,Active on Okta after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: Okta
ID0191,dormant_admin,HIGH,No login in 115 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0191,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0192,offboarding_gap,CRITICAL,Active on AWS after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: AWS
ID0193,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0194,privilege_escalation,CRITICAL,2 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0195,cross_platform_admin,HIGH,"Holds admin on AD, AWS simultaneously, with no recorded business justification",RULE_3,T1098 - Account Manipulation,"Review and reduce admin scope on AD, AWS"
ID0195,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0198,stale_token,MEDIUM,AWS API key not rotated in 762 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0198,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0202,dormant_admin,HIGH,No login in 151 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0202,stale_token,MEDIUM,AWS API key not rotated in 570 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0203,offboarding_gap,CRITICAL,Active on Okta after termination,RULE_1,T1078 - Valid Accounts,Immediately disable accounts on: Okta
ID0206,stale_token,MEDIUM,AWS API key not rotated in 550 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0208,dormant_admin,HIGH,No login in 223 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
ID0209,stale_token,MEDIUM,AWS API key not rotated in 781 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0210,stale_token,MEDIUM,AWS API key not rotated in 434 days,RULE_5,T1550 - Use Alternate Authentication Material,Rotate AWS access key immediately
ID0210,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0211,privilege_escalation,CRITICAL,1 privilege escalation events detected in audit log,RULE_6,T1098 - Account Manipulation,Review and revert all recent privilege changes
ID0213,dormant_admin,HIGH,No login in 128 days but holds admin privilege,RULE_2,T1078 - Valid Accounts,Revoke admin privileges or force re-certification
